id,product_id,anomaly_id,assigned_to_user_id,alert_type,severity,status,title,recommended_action,created_at,updated_at
db4ffb8e-77eb-59c2-9eba-f4634533c33e,ebd800fd-0820-5593-9f02-c5ad7575757b,825c99fb-235a-59d3-a5d2-a60e0746d6c1,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,medium,open,sales_drop for TOYS-000095,Review synthetic retail signal.,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00
55aa0a35-b6b9-5b7f-9c42-33976ea939a1,57a04d7b-ffa2-55d5-8e3c-3099d16cc188,35f24065-a93b-5f20-ba56-5e68b94ac2c2,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,high,open,sales_drop for PET -000096,Review synthetic retail signal.,2026-04-29T10:00:00+00:00,2026-04-29T10:00:00+00:00
bb2e3b3f-213d-5e23-bc3c-61997b04847b,746e83f8-c019-5f34-be65-3ba6d9311b16,47c4bde8-d0fe-5652-a89f-4c8a8d1b8f4a,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,critical,open,sales_drop for ELEC-000097,Review synthetic retail signal.,2026-04-28T10:00:00+00:00,2026-04-28T10:00:00+00:00
1d7a1085-c65a-5352-8a8d-59eeb327230a,1e4e8bdc-40be-58a9-9f14-c7b0c6af9c9c,0ef14548-74db-5376-a704-b41596a512a4,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,medium,open,sales_drop for FASH-000100,Review synthetic retail signal.,2026-04-27T10:00:00+00:00,2026-04-27T10:00:00+00:00
1195bac0-39f4-5dd9-b001-17115103fe65,398b86fc-73de-5291-ac6a-14681329475c,c05ae884-9593-5e9f-8fa3-5b40db51d880,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,high,open,sales_drop for FASH-000092,Review synthetic retail signal.,2026-04-26T10:00:00+00:00,2026-04-26T10:00:00+00:00
09188f7b-97e2-570c-8f07-940f0d66f4c9,20bd9198-afef-51b5-88cd-25eecdc6a243,404480fe-04d1-598d-8a88-1fcac5364dfa,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,critical,open,sales_drop for HOME-000098,Review synthetic retail signal.,2026-04-25T10:00:00+00:00,2026-04-25T10:00:00+00:00
eaa656be-ee05-50b5-a236-355e7eec3c70,2480ade4-fd45-5f2a-96a0-bdb49cf41ba8,ebd55603-6822-5959-9536-d384dca41d49,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,medium,open,sales_drop for PET -000088,Review synthetic retail signal.,2026-04-24T10:00:00+00:00,2026-04-24T10:00:00+00:00
a6afbc92-8456-5f2f-91b9-bd52a85f1d39,da3b1539-9617-5466-87e9-e053e2419729,190d2275-5131-52a0-af75-c8dcbcc420f3,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,high,open,sales_drop for GROC-000099,Review synthetic retail signal.,2026-04-23T10:00:00+00:00,2026-04-23T10:00:00+00:00
34d834a0-97ad-592c-a6db-cc68fd617b4a,a5c55cd2-b68a-541d-8134-ac1136a677dc,7cebe8d4-d1d3-5049-90a6-7b3aec51d79c,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,critical,open,sales_drop for SPOR-000094,Review synthetic retail signal.,2026-04-22T10:00:00+00:00,2026-04-22T10:00:00+00:00
c4bf0e74-7687-567a-bbc7-f6839c4ec9a8,adacd216-df4b-557a-bee5-9d117848c764,ef9a26ff-341e-599c-a53f-19bb54912647,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,medium,open,sales_drop for ELEC-000089,Review synthetic retail signal.,2026-04-21T10:00:00+00:00,2026-04-21T10:00:00+00:00
ed7a6838-84b9-5b9e-9f22-52b5b0ed17b5,e760945c-f9e6-5e2e-9858-aceb64faaf84,fcf230b3-f274-5fd0-9e17-d808aaf57785,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,high,open,sales_drop for BEAU-000093,Review synthetic retail signal.,2026-04-20T10:00:00+00:00,2026-04-20T10:00:00+00:00
2d390717-a76b-5d0f-a2b1-6be12882bea4,80c37084-5ec1-5934-99a2-404b2f4d677a,7a9a8356-a6fa-5963-9e91-c0c44af53e2d,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,critical,open,sales_drop for SPOR-000086,Review synthetic retail signal.,2026-04-19T10:00:00+00:00,2026-04-19T10:00:00+00:00
e21cfba1-3fc8-5964-8662-24504e3f1743,8cf4f802-4e89-570e-93f8-e6fcceaa622b,2ff35b9d-edca-5ed2-9831-320b48e7f588,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,medium,open,sales_drop for GROC-000091,Review synthetic retail signal.,2026-04-18T10:00:00+00:00,2026-04-18T10:00:00+00:00
3532ba19-7ea3-502f-83f0-f775dbdbabd7,ec348c6b-cb3f-5826-a791-37217bfd82f6,1312bec7-1dcf-5abe-86a5-d8669b1d3563,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,high,open,sales_drop for HOME-000090,Review synthetic retail signal.,2026-04-17T10:00:00+00:00,2026-04-17T10:00:00+00:00
cb9dddec-1abd-52ac-9b9e-3069a66be787,4f4cdd86-60e0-5d5c-9eda-86f193a7cd21,f5571435-1d0f-5e69-8c85-01aad9266852,89fb7da5-b69e-5f51-b939-5a62abcae0fa,sales_drop,critical,open,sales_drop for TOYS-000087,Review synthetic retail signal.,2026-04-16T10:00:00+00:00,2026-04-16T10:00:00+00:00
