id,product_id,anomaly_type,metric_name,actual_value,expected_value,deviation_percent,impact_value,impact_unit,severity,period_start,period_end,detected_at
825c99fb-235a-59d3-a5d2-a60e0746d6c1,ebd800fd-0820-5593-9f02-c5ad7575757b,sales_drop,units_sold,90.00,14.00,542.86,76.00,pcs,medium,2026-04-29T08:00:00+00:00,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00
35f24065-a93b-5f20-ba56-5e68b94ac2c2,57a04d7b-ffa2-55d5-8e3c-3099d16cc188,sales_drop,units_sold,90.00,28.00,221.43,62.00,pcs,high,2026-04-28T08:00:00+00:00,2026-04-29T10:00:00+00:00,2026-04-29T10:00:00+00:00
47c4bde8-d0fe-5652-a89f-4c8a8d1b8f4a,746e83f8-c019-5f34-be65-3ba6d9311b16,sales_drop,units_sold,90.00,28.00,221.43,62.00,pcs,critical,2026-04-27T08:00:00+00:00,2026-04-28T10:00:00+00:00,2026-04-28T10:00:00+00:00
0ef14548-74db-5376-a704-b41596a512a4,1e4e8bdc-40be-58a9-9f14-c7b0c6af9c9c,sales_drop,units_sold,91.00,28.00,225.00,63.00,pcs,medium,2026-04-26T08:00:00+00:00,2026-04-27T10:00:00+00:00,2026-04-27T10:00:00+00:00
c05ae884-9593-5e9f-8fa3-5b40db51d880,398b86fc-73de-5291-ac6a-14681329475c,sales_drop,units_sold,130.00,42.00,209.52,88.00,pcs,high,2026-04-25T08:00:00+00:00,2026-04-26T10:00:00+00:00,2026-04-26T10:00:00+00:00
404480fe-04d1-598d-8a88-1fcac5364dfa,20bd9198-afef-51b5-88cd-25eecdc6a243,sales_drop,units_sold,213.00,56.00,280.36,157.00,pcs,critical,2026-04-24T08:00:00+00:00,2026-04-25T10:00:00+00:00,2026-04-25T10:00:00+00:00
ebd55603-6822-5959-9536-d384dca41d49,2480ade4-fd45-5f2a-96a0-bdb49cf41ba8,sales_drop,units_sold,216.00,56.00,285.71,160.00,pcs,medium,2026-04-23T08:00:00+00:00,2026-04-24T10:00:00+00:00,2026-04-24T10:00:00+00:00
190d2275-5131-52a0-af75-c8dcbcc420f3,da3b1539-9617-5466-87e9-e053e2419729,sales_drop,units_sold,233.00,56.00,316.07,177.00,pcs,high,2026-04-22T08:00:00+00:00,2026-04-23T10:00:00+00:00,2026-04-23T10:00:00+00:00
7cebe8d4-d1d3-5049-90a6-7b3aec51d79c,a5c55cd2-b68a-541d-8134-ac1136a677dc,sales_drop,units_sold,254.00,56.00,353.57,198.00,pcs,critical,2026-04-21T08:00:00+00:00,2026-04-22T10:00:00+00:00,2026-04-22T10:00:00+00:00
ef9a26ff-341e-599c-a53f-19bb54912647,adacd216-df4b-557a-bee5-9d117848c764,sales_drop,units_sold,315.00,70.00,350.00,245.00,pcs,medium,2026-04-20T08:00:00+00:00,2026-04-21T10:00:00+00:00,2026-04-21T10:00:00+00:00
fcf230b3-f274-5fd0-9e17-d808aaf57785,e760945c-f9e6-5e2e-9858-aceb64faaf84,sales_drop,units_sold,400.00,70.00,471.43,330.00,pcs,high,2026-04-19T08:00:00+00:00,2026-04-20T10:00:00+00:00,2026-04-20T10:00:00+00:00
7a9a8356-a6fa-5963-9e91-c0c44af53e2d,80c37084-5ec1-5934-99a2-404b2f4d677a,sales_drop,units_sold,411.00,70.00,487.14,341.00,pcs,critical,2026-04-18T08:00:00+00:00,2026-04-19T10:00:00+00:00,2026-04-19T10:00:00+00:00
2ff35b9d-edca-5ed2-9831-320b48e7f588,8cf4f802-4e89-570e-93f8-e6fcceaa622b,sales_drop,units_sold,511.00,84.00,508.33,427.00,pcs,medium,2026-04-17T08:00:00+00:00,2026-04-18T10:00:00+00:00,2026-04-18T10:00:00+00:00
1312bec7-1dcf-5abe-86a5-d8669b1d3563,ec348c6b-cb3f-5826-a791-37217bfd82f6,sales_drop,units_sold,738.00,98.00,653.06,640.00,pcs,high,2026-04-16T08:00:00+00:00,2026-04-17T10:00:00+00:00,2026-04-17T10:00:00+00:00
f5571435-1d0f-5e69-8c85-01aad9266852,4f4cdd86-60e0-5d5c-9eda-86f193a7cd21,sales_drop,units_sold,749.00,98.00,664.29,651.00,pcs,critical,2026-04-15T08:00:00+00:00,2026-04-16T10:00:00+00:00,2026-04-16T10:00:00+00:00
dbb29540-f7bc-5085-8cff-0f920e5d0904,e213b766-e8ca-56ff-8715-94a8c16a108d,stale_inventory,units_sold,56.70,126.00,-55.00,-69.30,pcs,medium,2026-04-14T08:00:00+00:00,2026-04-15T10:00:00+00:00,2026-04-15T10:00:00+00:00
86977465-fb08-5f05-bb6a-b638a711ec63,91c81a29-2ca8-52e7-bffd-af9c56b7218c,stale_inventory,units_sold,56.70,126.00,-55.00,-69.30,pcs,high,2026-04-13T08:00:00+00:00,2026-04-14T10:00:00+00:00,2026-04-14T10:00:00+00:00
603e8a7b-648c-5cbe-92c8-1595c4278356,ce797b7a-af13-5663-88da-14c0a9fe5a63,stale_inventory,units_sold,56.70,126.00,-55.00,-69.30,pcs,critical,2026-04-12T08:00:00+00:00,2026-04-13T10:00:00+00:00,2026-04-13T10:00:00+00:00
00285f5f-bd11-52a9-b327-3f4324839816,818addc5-51d4-57c7-a7c6-b66bb513dcaf,stale_inventory,units_sold,56.70,126.00,-55.00,-69.30,pcs,medium,2026-04-11T08:00:00+00:00,2026-04-12T10:00:00+00:00,2026-04-12T10:00:00+00:00
88281dec-ff19-5529-9aa0-aa243af9c774,f32ca738-f369-5d10-a674-7ee267c90f10,stale_inventory,units_sold,63.00,140.00,-55.00,-77.00,pcs,high,2026-04-10T08:00:00+00:00,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00
