id,product_id,forecast_period_start,forecast_period_end,predicted_quantity,unit_of_measure,generated_at,method,status,confidence_level
9531ffb9-62ee-59b0-8f8d-57c918bf231a,576f0781-3104-5d50-92f3-befe834a6fa6,2026-05-01,2026-05-07,10569,pcs,2026-04-30T09:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.8200
3a4bd27f-37ae-5b7e-843d-582b3c1b739b,576f0781-3104-5d50-92f3-befe834a6fa6,2026-05-02,2026-05-08,10794,pcs,2026-04-30T10:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.8100
9416bfd9-40cb-5770-94a0-181edd11dd3c,576f0781-3104-5d50-92f3-befe834a6fa6,2026-05-03,2026-05-09,11019,pcs,2026-04-30T11:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.8000
a0bbe0f3-428a-5c81-81f8-5e3c0b0808e5,576f0781-3104-5d50-92f3-befe834a6fa6,2026-05-04,2026-05-10,11244,pcs,2026-04-30T12:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7900
54767979-1896-5d0a-8f57-0416d3463b1a,576f0781-3104-5d50-92f3-befe834a6fa6,2026-05-05,2026-05-11,11468,pcs,2026-04-30T13:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7800
3caa8d0f-c7f6-5beb-a3c8-ee279ec51315,576f0781-3104-5d50-92f3-befe834a6fa6,2026-05-06,2026-05-12,11693,pcs,2026-04-30T14:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7700
293c29bd-6d02-5d1b-bbd1-e36551998fcc,576f0781-3104-5d50-92f3-befe834a6fa6,2026-05-07,2026-05-13,11918,pcs,2026-04-30T15:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7600
ec522995-a19d-5321-a847-fd92854f263d,38d5dc41-891b-50f6-a02f-fda88ad8ccde,2026-05-01,2026-05-07,11993,pcs,2026-04-30T09:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.8050
4af70fde-08a0-5672-80e2-64c2b66726bd,38d5dc41-891b-50f6-a02f-fda88ad8ccde,2026-05-02,2026-05-08,12248,pcs,2026-04-30T10:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7950
e4c68d77-c66d-569e-8d31-e02d96ce9a3b,38d5dc41-891b-50f6-a02f-fda88ad8ccde,2026-05-03,2026-05-09,12503,pcs,2026-04-30T11:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7850
e497dd77-0605-55d4-bb10-9f19e12804ea,38d5dc41-891b-50f6-a02f-fda88ad8ccde,2026-05-04,2026-05-10,12759,pcs,2026-04-30T12:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7750
9a4d7e2f-5d22-545f-a3a4-57678b1bd8df,38d5dc41-891b-50f6-a02f-fda88ad8ccde,2026-05-05,2026-05-11,13014,pcs,2026-04-30T13:00:00+00:00,retailops-realism-baseline-demand-model,generated,0.7650
