id,product_id,stock_quantity,unit_of_measure,warehouse_code,recorded_at,ingested_at,created_at
612434c4-cee1-58ae-9832-ee0e0bd40620,576f0781-3104-5d50-92f3-befe834a6fa6,3700,pcs,WH-0001,2026-04-30T08:00:00+00:00,2026-04-30T08:00:00+00:00,2026-04-30T08:00:00+00:00
38a41048-87f4-5b37-a09b-483bce8318f6,38d5dc41-891b-50f6-a02f-fda88ad8ccde,4242,pcs,WH-0002,2026-04-30T09:00:00+00:00,2026-04-30T09:00:00+00:00,2026-04-30T09:00:00+00:00
41d6489d-8f42-558e-a8c4-3fcc4238bcf4,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,4738,pcs,WH-0003,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00
758951a3-1a81-52d7-bb98-83b479fcc847,b17680da-3917-5612-9246-0a9b60e6efe9,4210,pcs,WH-0001,2026-04-30T11:00:00+00:00,2026-04-30T11:00:00+00:00,2026-04-30T11:00:00+00:00
484391ae-032d-57cf-84a0-1bedb553d810,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,4272,pcs,WH-0002,2026-04-30T12:00:00+00:00,2026-04-30T12:00:00+00:00,2026-04-30T12:00:00+00:00
acd66093-8416-5b4a-817f-066688ffecef,e3e08a14-471a-5347-94f6-b2369070c3a7,3951,pcs,WH-0003,2026-04-30T13:00:00+00:00,2026-04-30T13:00:00+00:00,2026-04-30T13:00:00+00:00
150348d9-5cb3-5557-a278-d176802cadbd,6ef80540-16c7-551c-95b8-9ae7373e7908,3832,pcs,WH-0001,2026-04-30T14:00:00+00:00,2026-04-30T14:00:00+00:00,2026-04-30T14:00:00+00:00
c7b82a74-ec33-5ac7-8ddf-487c833f6955,f000d381-f2f7-5a93-bc43-825f298a7685,3694,pcs,WH-0002,2026-04-30T15:00:00+00:00,2026-04-30T15:00:00+00:00,2026-04-30T15:00:00+00:00
78032c47-7b29-5348-afbf-2724d6cf9234,22d48f3a-5014-5123-a1e5-345e1ddd84a3,1860,pcs,WH-0003,2026-04-30T08:00:00+00:00,2026-04-30T08:00:00+00:00,2026-04-30T08:00:00+00:00
35c7bcd1-08d0-59ec-a6cd-b008669533db,7b6c271c-85eb-5849-9da9-76e7ab8e881f,2197,pcs,WH-0001,2026-04-30T09:00:00+00:00,2026-04-30T09:00:00+00:00,2026-04-30T09:00:00+00:00
1c5841b3-28ca-51b2-9e47-386a823cc83f,163da9b8-d3e0-5f9e-9dd3-954c345c7684,1810,pcs,WH-0002,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00
77d06bec-ab36-5b76-a785-1e7941b9f90e,ca2f4809-df5a-51b1-b5eb-635bec356f40,1655,pcs,WH-0003,2026-04-30T11:00:00+00:00,2026-04-30T11:00:00+00:00,2026-04-30T11:00:00+00:00
66d5c4f7-d870-5721-8def-e2d213c6c6a0,f8f45205-4b7d-5a19-9e70-2c6d708ac79c,2032,pcs,WH-0001,2026-04-30T12:00:00+00:00,2026-04-30T12:00:00+00:00,2026-04-30T12:00:00+00:00
63270b48-63fb-5322-8e93-d34dc8ae3d75,5030188b-d814-53c3-9914-3a99743cea2f,2710,pcs,WH-0002,2026-04-30T13:00:00+00:00,2026-04-30T13:00:00+00:00,2026-04-30T13:00:00+00:00
a618647a-eb2b-58eb-9e73-9add3b84a03d,92541b74-41dc-5325-b5f8-c731758cbdfc,3046,pcs,WH-0003,2026-04-30T14:00:00+00:00,2026-04-30T14:00:00+00:00,2026-04-30T14:00:00+00:00
51f75917-020b-5e90-9dfa-dcfe071a0413,5e4db0b5-3afc-5b37-b821-e41339bfcb8f,2158,pcs,WH-0001,2026-04-30T15:00:00+00:00,2026-04-30T15:00:00+00:00,2026-04-30T15:00:00+00:00
97ffa835-bd24-5ffc-a0f5-509a3238b3de,6836df32-8a55-5c22-8e6b-ed15005c6d4a,3268,pcs,WH-0002,2026-04-30T08:00:00+00:00,2026-04-30T08:00:00+00:00,2026-04-30T08:00:00+00:00
57be6f0a-616f-5748-ab26-b22f77128d6e,60fc91ce-c105-5d41-a03f-c6f4490669e1,2219,pcs,WH-0003,2026-04-30T09:00:00+00:00,2026-04-30T09:00:00+00:00,2026-04-30T09:00:00+00:00
a47ac4ad-0bfe-5b44-97e0-c521a85a859c,944b935c-7308-50ea-a7a3-71cc8f2fd4c5,1348,pcs,WH-0001,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00,2026-04-30T10:00:00+00:00
1270ac4d-44d0-57b3-ae8e-c95af244ee51,b3eddb5e-2feb-5a7d-9d80-832a203e282f,1161,pcs,WH-0002,2026-04-30T11:00:00+00:00,2026-04-30T11:00:00+00:00,2026-04-30T11:00:00+00:00
5e31d0bd-e3b9-5efc-9394-947c3990d5c4,360ec9af-06ab-53b8-adcc-f0a8badedcdf,1070,pcs,WH-0003,2026-04-30T12:00:00+00:00,2026-04-30T12:00:00+00:00,2026-04-30T12:00:00+00:00
3067f42d-06be-532d-b548-1959b6874fdf,c6ad2817-6d98-5707-85ba-460e2ab44c7a,1390,pcs,WH-0001,2026-04-30T13:00:00+00:00,2026-04-30T13:00:00+00:00,2026-04-30T13:00:00+00:00
7116f9fb-05fa-5666-a68f-10075ddc244d,44953a4d-66fb-5d64-9644-a9213ce753fb,1584,pcs,WH-0002,2026-04-30T14:00:00+00:00,2026-04-30T14:00:00+00:00,2026-04-30T14:00:00+00:00
a08d0b97-c5f4-589c-b65e-fda2083cc44b,5acda6c0-5a1e-5e97-9a2c-6a29d8118012,2251,pcs,WH-0003,2026-04-30T15:00:00+00:00,2026-04-30T15:00:00+00:00,2026-04-30T15:00:00+00:00
