id,product_id,price,currency,valid_from,valid_to,price_type,source,created_at
2336366e-26c0-58da-94ba-2212aba15ad6,576f0781-3104-5d50-92f3-befe834a6fa6,9.39,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-29
f5306509-5c00-5503-868b-2fb94cee0fbe,576f0781-3104-5d50-92f3-befe834a6fa6,9.99,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-29
054a407c-295a-5f29-b105-bd504f538e4b,576f0781-3104-5d50-92f3-befe834a6fa6,10.29,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-29
75259b04-c569-5e73-9ec5-96756db9e914,38d5dc41-891b-50f6-a02f-fda88ad8ccde,11.04,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-28
92543cda-67a3-5665-bb5b-5052e2e8ef94,38d5dc41-891b-50f6-a02f-fda88ad8ccde,11.74,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-28
d35ea874-0a8e-5eab-8793-d5a79f1f4c98,38d5dc41-891b-50f6-a02f-fda88ad8ccde,12.09,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-28
ee4b8366-47f7-5a43-961a-9c189ced4d73,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,12.68,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-27
fa20eb88-f39c-58bb-ab19-8f655d0fd996,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,13.49,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-27
b8c48686-92b3-5f8e-adde-cc0284e65a90,de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,13.89,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-27
ead3b7fd-faa1-5597-8d24-106665deb0d0,b17680da-3917-5612-9246-0a9b60e6efe9,14.33,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-26
8c648623-2577-5fb3-980a-5e3b539ab78f,b17680da-3917-5612-9246-0a9b60e6efe9,15.24,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-26
64f93f39-03b2-506e-b40b-6b6ad0a4af40,b17680da-3917-5612-9246-0a9b60e6efe9,15.70,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-26
eea05633-7d66-5d58-8a70-bf5a48433ac7,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,15.97,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-25
184df053-09a6-5ee8-b570-498cd299c70c,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,16.99,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-25
f96e6783-ecf3-5702-b5a5-5313cb6aa70c,62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,17.50,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-25
f59c8c5d-5cfb-5133-b2da-7f1133efcfa1,e3e08a14-471a-5347-94f6-b2369070c3a7,17.62,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-24
16b8a3cd-fcb0-53bb-a2ec-9965452c7111,e3e08a14-471a-5347-94f6-b2369070c3a7,18.74,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-24
e836a727-f166-5780-b28f-6fa49888b429,e3e08a14-471a-5347-94f6-b2369070c3a7,19.30,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-24
b4b6cfa8-ed07-508e-bd6e-12283e20cc60,6ef80540-16c7-551c-95b8-9ae7373e7908,19.26,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-23
149077ea-cf9e-5e3a-973e-e18dfd88431d,6ef80540-16c7-551c-95b8-9ae7373e7908,20.49,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-23
feda2be5-b09a-5d31-b3aa-dc67a9a15712,6ef80540-16c7-551c-95b8-9ae7373e7908,21.10,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-23
1c8682b6-fdff-5100-94f9-f0c92d3ceb88,f000d381-f2f7-5a93-bc43-825f298a7685,20.91,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-22
0507055f-01cc-5a17-b76f-ee61dd4c09bb,f000d381-f2f7-5a93-bc43-825f298a7685,22.24,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-22
685905d9-813b-517a-a7d8-905f5d2fcc10,f000d381-f2f7-5a93-bc43-825f298a7685,22.91,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-22
313df08b-e75b-5eab-8f57-b95c91d1ff2d,22d48f3a-5014-5123-a1e5-345e1ddd84a3,22.55,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-21
77cb917b-b180-5190-af5e-1c6c686046df,22d48f3a-5014-5123-a1e5-345e1ddd84a3,23.99,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-21
2b80568f-37f2-53b4-91e5-2e6aa593863b,22d48f3a-5014-5123-a1e5-345e1ddd84a3,24.71,PLN,2026-05-31,,planned,synthetic_pricing_rules,2026-04-21
76844acf-cd15-509c-ae23-25fced57e9cf,7b6c271c-85eb-5849-9da9-76e7ab8e881f,24.20,PLN,2026-03-01,2026-03-30,regular,synthetic_pricing_rules,2026-04-20
1eb24293-9c77-5397-83b4-96dbc381a761,7b6c271c-85eb-5849-9da9-76e7ab8e881f,25.74,PLN,2026-03-31,2026-05-30,regular,synthetic_pricing_rules,2026-04-20
