id,sku,name,category,brand,status,demand_class,demand_weight,price_elasticity,seasonal_pattern,return_rate
576f0781-3104-5d50-92f3-befe834a6fa6,ELEC-000001,Electronics Product 000001,Electronics,SoundWave,active,hero_product,4.6145,1.15,weekly_sensitive,0.12
38d5dc41-891b-50f6-a02f-fda88ad8ccde,HOME-000002,Home Improvement Product 000002,Home Improvement,NordicHome,active,hero_product,4.9197,0.80,spring_summer_peak,0.14
de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,GROC-000003,Grocery Product 000003,Grocery,GreenFarm,active,hero_product,5.1135,0.35,stable,0.01
b17680da-3917-5612-9246-0a9b60e6efe9,FASH-000004,Fashion Product 000004,Fashion,UrbanNorth,active,hero_product,4.2281,1.35,holiday_peak,0.34
62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,BEAU-000005,Beauty Product 000005,Beauty,SkinLab,active,hero_product,4.0237,0.70,weekly_sensitive,0.08
e3e08a14-471a-5347-94f6-b2369070c3a7,SPOR-000006,Sports Product 000006,Sports,FitCore,active,hero_product,3.4904,0.95,spring_summer_peak,0.11
6ef80540-16c7-551c-95b8-9ae7373e7908,TOYS-000007,Toys Product 000007,Toys,PlayBox,active,hero_product,3.1930,1.05,holiday_peak,0.09
f000d381-f2f7-5a93-bc43-825f298a7685,PET -000008,Pet Care Product 000008,Pet Care,HappyPaws,active,hero_product,2.9191,0.45,weekly_sensitive,0.02
22d48f3a-5014-5123-a1e5-345e1ddd84a3,ELEC-000009,Electronics Product 000009,Electronics,SoundWave,active,core_product,2.0469,1.15,weekly_sensitive,0.12
7b6c271c-85eb-5849-9da9-76e7ab8e881f,HOME-000010,Home Improvement Product 000010,Home Improvement,NordicHome,active,core_product,2.3317,0.80,spring_summer_peak,0.14
163da9b8-d3e0-5f9e-9dd3-954c345c7684,GROC-000011,Grocery Product 000011,Grocery,GreenFarm,active,core_product,1.8013,0.35,stable,0.01
ca2f4809-df5a-51b1-b5eb-635bec356f40,FASH-000012,Fashion Product 000012,Fashion,UrbanNorth,active,core_product,1.5619,1.35,holiday_peak,0.34
f8f45205-4b7d-5a19-9e70-2c6d708ac79c,BEAU-000013,Beauty Product 000013,Beauty,SkinLab,active,core_product,1.8640,0.70,weekly_sensitive,0.08
5030188b-d814-53c3-9914-3a99743cea2f,SPOR-000014,Sports Product 000014,Sports,FitCore,active,core_product,2.4334,0.95,spring_summer_peak,0.11
92541b74-41dc-5325-b5f8-c731758cbdfc,TOYS-000015,Toys Product 000015,Toys,PlayBox,active,core_product,2.6445,1.05,holiday_peak,0.09
5e4db0b5-3afc-5b37-b821-e41339bfcb8f,PET -000016,Pet Care Product 000016,Pet Care,HappyPaws,active,core_product,1.7637,0.45,weekly_sensitive,0.02
6836df32-8a55-5c22-8e6b-ed15005c6d4a,ELEC-000017,Electronics Product 000017,Electronics,SoundWave,active,core_product,2.6448,1.15,weekly_sensitive,0.12
60fc91ce-c105-5d41-a03f-c6f4490669e1,HOME-000018,Home Improvement Product 000018,Home Improvement,NordicHome,active,core_product,1.7128,0.80,spring_summer_peak,0.14
944b935c-7308-50ea-a7a3-71cc8f2fd4c5,GROC-000019,Grocery Product 000019,Grocery,GreenFarm,active,core_product,2.3658,0.35,stable,0.01
b3eddb5e-2feb-5a7d-9d80-832a203e282f,FASH-000020,Fashion Product 000020,Fashion,UrbanNorth,active,core_product,1.8529,1.35,holiday_peak,0.34
360ec9af-06ab-53b8-adcc-f0a8badedcdf,BEAU-000021,Beauty Product 000021,Beauty,SkinLab,active,core_product,1.5617,0.70,weekly_sensitive,0.08
c6ad2817-6d98-5707-85ba-460e2ab44c7a,SPOR-000022,Sports Product 000022,Sports,FitCore,active,core_product,1.9726,0.95,spring_summer_peak,0.11
44953a4d-66fb-5d64-9644-a9213ce753fb,TOYS-000023,Toys Product 000023,Toys,PlayBox,active,core_product,2.1256,1.05,holiday_peak,0.09
5acda6c0-5a1e-5e97-9a2c-6a29d8118012,PET -000024,Pet Care Product 000024,Pet Care,HappyPaws,active,core_product,2.9352,0.45,weekly_sensitive,0.02
06f4fcc4-2bd2-526c-bfc8-6a4cbad967b3,ELEC-000025,Electronics Product 000025,Electronics,SoundWave,active,core_product,2.7587,1.15,weekly_sensitive,0.12
b6756d87-a0a0-556a-b6ed-1c904680ceb4,HOME-000026,Home Improvement Product 000026,Home Improvement,NordicHome,active,seasonal,1.2527,0.80,seasonal_peak,0.14
78d65be0-4c32-5c7a-932c-89673632def9,GROC-000027,Grocery Product 000027,Grocery,GreenFarm,active,seasonal,1.3091,0.35,seasonal_peak,0.01
01fc3b7e-8b29-50d3-a3d4-bc713fa84405,FASH-000028,Fashion Product 000028,Fashion,UrbanNorth,active,seasonal,0.9041,1.35,seasonal_peak,0.34
e97682bc-117f-532b-8b65-b717c09bc30f,BEAU-000029,Beauty Product 000029,Beauty,SkinLab,active,seasonal,1.1543,0.70,seasonal_peak,0.08
b7d44817-034b-51e8-84f0-70a921a96cdb,SPOR-000030,Sports Product 000030,Sports,FitCore,active,seasonal,1.5831,0.95,seasonal_peak,0.11
85e7e944-3e11-5a89-ac96-c23167ff32dc,TOYS-000031,Toys Product 000031,Toys,PlayBox,active,seasonal,1.1839,1.05,seasonal_peak,0.09
975dfb1e-69d1-5f10-8875-2e1acefd4859,PET -000032,Pet Care Product 000032,Pet Care,HappyPaws,active,seasonal,1.5478,0.45,seasonal_peak,0.02
ac6c0b36-b856-5925-aca7-b8e3bb4639a3,ELEC-000033,Electronics Product 000033,Electronics,SoundWave,active,seasonal,1.1918,1.15,seasonal_peak,0.12
7d15b52f-782f-5fa8-9c0b-78ebb03a07a5,HOME-000034,Home Improvement Product 000034,Home Improvement,NordicHome,active,seasonal,1.9109,0.80,seasonal_peak,0.14
2532c2ec-f726-59a0-9af7-a077b1c5c99d,GROC-000035,Grocery Product 000035,Grocery,GreenFarm,active,seasonal,1.0989,0.35,seasonal_peak,0.01
6e80b7e9-0667-54ce-838e-56aca777afef,FASH-000036,Fashion Product 000036,Fashion,UrbanNorth,active,seasonal,1.1991,1.35,seasonal_peak,0.34
9a6922f7-9343-52bc-89b0-d1db33a0340d,BEAU-000037,Beauty Product 000037,Beauty,SkinLab,active,seasonal,1.1180,0.70,seasonal_peak,0.08
f42ebea5-b984-5835-bd6a-106e6e6fdcfb,SPOR-000038,Sports Product 000038,Sports,FitCore,active,seasonal,1.7789,0.95,seasonal_peak,0.11
9cf88386-0bed-5ac4-9a5f-045e8b2a7a00,TOYS-000039,Toys Product 000039,Toys,PlayBox,active,seasonal,0.9398,1.05,seasonal_peak,0.09
ac8ce360-9980-5f71-b176-285323c963b8,PET -000040,Pet Care Product 000040,Pet Care,HappyPaws,active,seasonal,1.0173,0.45,seasonal_peak,0.02
58e54d28-afe6-5090-9990-c3649b754085,ELEC-000041,Electronics Product 000041,Electronics,SoundWave,active,seasonal,1.5250,1.15,seasonal_peak,0.12
ab1d5346-1d4b-582e-bd7a-c0685e487f0b,HOME-000042,Home Improvement Product 000042,Home Improvement,NordicHome,active,seasonal,1.0524,0.80,seasonal_peak,0.14
5a4f9e8e-a5d6-5631-ae53-ffbfaec4450c,GROC-000043,Grocery Product 000043,Grocery,GreenFarm,active,seasonal,1.6664,0.35,seasonal_peak,0.01
aea54154-8157-5774-8110-fba37ae17360,FASH-000044,Fashion Product 000044,Fashion,UrbanNorth,active,seasonal,1.4703,1.35,seasonal_peak,0.34
293b0637-4956-51c6-b5b9-b71cef14f7a6,BEAU-000045,Beauty Product 000045,Beauty,SkinLab,active,seasonal,1.4341,0.70,seasonal_peak,0.08
5125db4d-be56-5fed-8c57-2cb37186845a,SPOR-000046,Sports Product 000046,Sports,FitCore,active,new_product,0.9051,0.95,spring_summer_peak,0.11
ce797b7a-af13-5663-88da-14c0a9fe5a63,TOYS-000047,Toys Product 000047,Toys,PlayBox,active,new_product,0.6057,1.05,holiday_peak,0.09
ef4975d2-c692-52bd-9c55-6fc144747695,PET -000048,Pet Care Product 000048,Pet Care,HappyPaws,active,new_product,1.5452,0.45,weekly_sensitive,0.02
91c81a29-2ca8-52e7-bffd-af9c56b7218c,ELEC-000049,Electronics Product 000049,Electronics,SoundWave,active,new_product,0.6170,1.15,weekly_sensitive,0.12
ef601e27-fbe0-531a-8b8b-900d8745a901,HOME-000050,Home Improvement Product 000050,Home Improvement,NordicHome,active,new_product,1.3830,0.80,spring_summer_peak,0.14
ee0c49cd-0889-5cbf-90de-badbe7517995,GROC-000051,Grocery Product 000051,Grocery,GreenFarm,active,new_product,0.9620,0.35,stable,0.01
c74c4e40-b157-5011-aa3d-ec349fb61826,FASH-000052,Fashion Product 000052,Fashion,UrbanNorth,active,new_product,1.0976,1.35,holiday_peak,0.34
bdef6401-48fd-5078-a4a6-0b385d763314,BEAU-000053,Beauty Product 000053,Beauty,SkinLab,active,new_product,1.3071,0.70,weekly_sensitive,0.08
7ee0dda2-02c2-549d-92e2-6eb7117b919d,SPOR-000054,Sports Product 000054,Sports,FitCore,active,new_product,0.9313,0.95,spring_summer_peak,0.11
ab4674bc-4106-51c6-b44a-9ca109374b4f,TOYS-000055,Toys Product 000055,Toys,PlayBox,active,new_product,1.2628,1.05,holiday_peak,0.09
88370064-3581-5cf2-9047-50dd2a1397e0,PET -000056,Pet Care Product 000056,Pet Care,HappyPaws,active,new_product,0.9380,0.45,weekly_sensitive,0.02
e99fb2c3-af82-55dc-a4f5-05e1d6698616,ELEC-000057,Electronics Product 000057,Electronics,SoundWave,active,new_product,0.7743,1.15,weekly_sensitive,0.12
f32ca738-f369-5d10-a674-7ee267c90f10,HOME-000058,Home Improvement Product 000058,Home Improvement,NordicHome,active,new_product,0.6676,0.80,spring_summer_peak,0.14
1a75e928-29ff-5256-9b8e-492b71e4a9eb,GROC-000059,Grocery Product 000059,Grocery,GreenFarm,active,new_product,1.1946,0.35,stable,0.01
c05f9712-2ad5-54a6-bb81-158133cd3bd9,FASH-000060,Fashion Product 000060,Fashion,UrbanNorth,active,new_product,1.5072,1.35,holiday_peak,0.34
