feature,importance
unit_price,0.3764
rolling_mean_units,0.1549
lag_1_units,0.1089
lag_7_units,0.0977
rolling_max_units,0.0683
training_observation_count,0.0327
day_of_week,0.0303
inventory_on_hand,0.0237
rolling_min_units,0.0231
stockout_flag,0.0125
discount_percent,0.0095
week_of_year,0.0092
store_id=173ee44c-0459-54cb-b9a6-01f9b422e02f,0.0068
channel=wholesale,0.0051
is_weekend,0.0047
channel=store,0.0046
channel=online,0.0030
store_id=ba4881fd-78b5-5016-847d-8066d661bcfa,0.0027
store_id=a2ac838d-a4ad-5054-9aad-660428b4817c,0.0024
store_id=2761a8b7-f541-58d3-a24a-a69e1ad6ee09,0.0021
store_id=c1ca292a-ed5d-5123-9067-da1959a33604,0.0020
product_id=576f0781-3104-5d50-92f3-befe834a6fa6,0.0017
category=Grocery,0.0014
product_id=38d5dc41-891b-50f6-a02f-fda88ad8ccde,0.0014
brand=GreenFarm,0.0013
brand=NordicHome,0.0013
channel=marketplace,0.0012
product_id=de0b3ef5-2bd5-55d5-8b53-6dc8eda6d60f,0.0012
month,0.0010
category=Electronics,0.0008
product_id=b17680da-3917-5612-9246-0a9b60e6efe9,0.0008
promotion_type=none,0.0008
promotion_active,0.0007
promotion_type=percentage_discount,0.0007
brand=UrbanNorth,0.0006
brand=SkinLab,0.0005
category=Beauty,0.0005
category=Fashion,0.0005
product_id=e3e08a14-471a-5347-94f6-b2369070c3a7,0.0005
category=Home Improvement,0.0004
brand=FitCore,0.0003
brand=SoundWave,0.0002
product_id=62b81abd-84c4-5de4-b8f1-2d5b6b547bc3,0.0002
product_id=6ef80540-16c7-551c-95b8-9ae7373e7908,0.0002
product_id=f000d381-f2f7-5a93-bc43-825f298a7685,0.0002
brand=PlayBox,0.0001
category=Sports,0.0001
category=Toys,0.0001
product_id=5030188b-d814-53c3-9914-3a99743cea2f,0.0001
product_id=7b6c271c-85eb-5849-9da9-76e7ab8e881f,0.0001
brand=HappyPaws,0.0000
category=Pet Care,0.0000
inventory_reserved,0.0000
product_id=01fc3b7e-8b29-50d3-a3d4-bc713fa84405,0.0000
product_id=06acb399-de3d-5662-8c40-c27c44a03030,0.0000
product_id=06f4fcc4-2bd2-526c-bfc8-6a4cbad967b3,0.0000
product_id=09e0d5b3-b51d-50cb-b5b7-2e5b62f35dc6,0.0000
product_id=13aa843a-9cf9-5e5e-b377-21f2c5c1cfe1,0.0000
product_id=1564b2e3-5405-5bf0-8ac8-706225799233,0.0000
product_id=163da9b8-d3e0-5f9e-9dd3-954c345c7684,0.0000
product_id=1a75e928-29ff-5256-9b8e-492b71e4a9eb,0.0000
product_id=1e4e8bdc-40be-58a9-9f14-c7b0c6af9c9c,0.0000
product_id=20bd9198-afef-51b5-88cd-25eecdc6a243,0.0000
product_id=22d48f3a-5014-5123-a1e5-345e1ddd84a3,0.0000
product_id=2480ade4-fd45-5f2a-96a0-bdb49cf41ba8,0.0000
product_id=2532c2ec-f726-59a0-9af7-a077b1c5c99d,0.0000
product_id=260c2bee-e4ea-5a81-b7cd-575a8882e7ca,0.0000
product_id=284bddee-b37c-5c36-8aab-81867975f179,0.0000
product_id=293b0637-4956-51c6-b5b9-b71cef14f7a6,0.0000
product_id=2e22974b-0c82-5383-be4f-44adda569aa6,0.0000
product_id=360ec9af-06ab-53b8-adcc-f0a8badedcdf,0.0000
product_id=398b86fc-73de-5291-ac6a-14681329475c,0.0000
product_id=39f8628a-0f86-548c-91ee-718cae91d0c3,0.0000
product_id=4043dc4a-96a5-5cb6-8f09-37f10cce0de1,0.0000
product_id=44953a4d-66fb-5d64-9644-a9213ce753fb,0.0000
product_id=4dd85a2c-b259-5694-a7e6-1dbdd7a8b9f3,0.0000
product_id=4f4cdd86-60e0-5d5c-9eda-86f193a7cd21,0.0000
product_id=5125db4d-be56-5fed-8c57-2cb37186845a,0.0000
product_id=57a04d7b-ffa2-55d5-8e3c-3099d16cc188,0.0000
product_id=58e54d28-afe6-5090-9990-c3649b754085,0.0000
product_id=5a4f9e8e-a5d6-5631-ae53-ffbfaec4450c,0.0000
product_id=5acda6c0-5a1e-5e97-9a2c-6a29d8118012,0.0000
product_id=5e4db0b5-3afc-5b37-b821-e41339bfcb8f,0.0000
product_id=60fc91ce-c105-5d41-a03f-c6f4490669e1,0.0000
product_id=68343b6b-e6e1-53cd-9d7e-113d3dd3fb4f,0.0000
product_id=6836df32-8a55-5c22-8e6b-ed15005c6d4a,0.0000
product_id=6a250ba0-29a8-5939-9cc1-cba774d5109f,0.0000
product_id=6b73c00c-e450-51d6-b955-9cca56d368d3,0.0000
product_id=6e80b7e9-0667-54ce-838e-56aca777afef,0.0000
product_id=70103cb6-8c8c-5035-8835-8dba958ea703,0.0000
product_id=746e83f8-c019-5f34-be65-3ba6d9311b16,0.0000
product_id=78d65be0-4c32-5c7a-932c-89673632def9,0.0000
product_id=7d15b52f-782f-5fa8-9c0b-78ebb03a07a5,0.0000
product_id=7ee0dda2-02c2-549d-92e2-6eb7117b919d,0.0000
product_id=80c37084-5ec1-5934-99a2-404b2f4d677a,0.0000
product_id=818addc5-51d4-57c7-a7c6-b66bb513dcaf,0.0000
product_id=85e7e944-3e11-5a89-ac96-c23167ff32dc,0.0000
product_id=874f1b3f-f15c-5575-af9b-537ba7b68f80,0.0000
product_id=88370064-3581-5cf2-9047-50dd2a1397e0,0.0000
product_id=8cf4f802-4e89-570e-93f8-e6fcceaa622b,0.0000
product_id=91c81a29-2ca8-52e7-bffd-af9c56b7218c,0.0000
product_id=92541b74-41dc-5325-b5f8-c731758cbdfc,0.0000
product_id=944b935c-7308-50ea-a7a3-71cc8f2fd4c5,0.0000
product_id=953af428-8548-5852-860e-88337bcfda1c,0.0000
product_id=975dfb1e-69d1-5f10-8875-2e1acefd4859,0.0000
product_id=9a6922f7-9343-52bc-89b0-d1db33a0340d,0.0000
product_id=9b06f7c5-92ba-5990-be5b-a7cd92658adc,0.0000
product_id=9cf88386-0bed-5ac4-9a5f-045e8b2a7a00,0.0000
product_id=a5c55cd2-b68a-541d-8134-ac1136a677dc,0.0000
product_id=ab1d5346-1d4b-582e-bd7a-c0685e487f0b,0.0000
product_id=ab4674bc-4106-51c6-b44a-9ca109374b4f,0.0000
product_id=ac6c0b36-b856-5925-aca7-b8e3bb4639a3,0.0000
product_id=ac8ce360-9980-5f71-b176-285323c963b8,0.0000
product_id=adacd216-df4b-557a-bee5-9d117848c764,0.0000
product_id=aea54154-8157-5774-8110-fba37ae17360,0.0000
product_id=b3187164-9efe-5f40-864a-e693c1808c39,0.0000
product_id=b3eddb5e-2feb-5a7d-9d80-832a203e282f,0.0000
product_id=b6756d87-a0a0-556a-b6ed-1c904680ceb4,0.0000
product_id=b7d44817-034b-51e8-84f0-70a921a96cdb,0.0000
